QuestionID,Question,,,
52108621,Do you know which one is more pertnant?,52111276,"I spoke with Coby and that would be the lower ball joints 

--Deanna Chapman DCH Toyota of Torrance",776
52106257,"Hi Margaret! 
I got my car serviced late march and you told me to return when I hit a certain mileage for some things that needed to be done. Can I make an appointment through you?",52109043,"Hi, Im Deanna, I can schedule that appt for you with Margaret when did you want to come in?
 Text STOP for NO text.
--Deanna Chapman DCH Toyota of Torrance",867
52103612,How late r u open today?,52104093,7PM,165
52102593,"Good morning Diana,
How much is services if I bring in my own parts for brakes? 
I also have a special in the mail for Minor service at $39.77 with synthetic $10 more.
How far does your free shuttle goes? Is free car rental available?

Lanett",52105925,"Good Morning Lanett Cchuon, for the labor to replace brake pads and machine rotors is $201.00, we do have  courtesy shuttle is a 7 mile radius we can drop you off and pick up, unfortunately we do not give out loaner vehicles, we do rent out vehicles starting at $40.00, would you like to make appointment ?

--Diana Cota DCH Toyota of Torrance",1079
52093160," Don't do the window that's too much money$$ I'll take it to my mechanic. What about the radio?
And I can replace the bulbs myself. Thanks",52093478,"keep the bulbs (i won't charge you). Radio is ok for now. Updated the software and we are not able to duplicate your concern. if the concern comes back, then you will need a new unit. :-(

--Margaret Kang DCH Toyota of Torrance",154
52086208,How about 730-ish,52128418,"Perfect Thursday at 730 am.

--Ofelia Carlin DCH Toyota of Torrance",14443
52063679,"What time you in, in the morning",52064036,"at 7am :-)

--Margaret Kang DCH Toyota of Torrance",150
52063508,How about I come tomorrow morning,52063537,"yes, if that;s ok with you.

--Margaret Kang DCH Toyota of Torrance",16
52061857,"Thanks, what is approx charges for those services?",52062897,"Your looking at about $328 plus tax roughly

--Deanna Chapman DCH Toyota of Torrance",439
52061005,"Hi Deanna, how much is the discount?",52065288,"What were you looking to get done?
 

--Deanna Chapman DCH Toyota of Torrance",2051
52060733,"So sorry to heard that, and you are making me nervous!
What services were not completed!
Please let me know as soon as you can!
It will be very helpful
Thank you so much!",52065182,"I see and intermediate shaft, front struts and brake fluid exchange were recommended.

--Deanna Chapman DCH Toyota of Torrance",2105
52060331,When is Margaret coming back?,52060441,"Margaret is back from vacation already as of today
 

--Deanna Chapman DCH Toyota of Torrance",58
52058729,FYI. I just received an email saying my appointment for 7/13 at 7:30am has been cancelled. Not sure why it was cancelled,52059275,"I had to cancel the appointment online and reschedule it with your vin attached.  Sorry for the confusion.  You're still set for that date and time.   

--Ofelia Gonzalez DCH Toyota of Torrance",164
52050161,What is the cost for oil change?,52050993,"Good Afternoon Aaron Wade, the cost for oil and filter change with conventional oil is $39.95 plus tax, with synthetic oil and filter change is $59.95 plus tax, would you like to make appointment ?

--Diana Cota DCH Toyota of Torrance",266
52044496,Can you please let me know when the car is ready? Thanks ,Answer Unavailable,,
52043446,What about the oil leak,Answer Unavailable,,
52038871,How much for 2 rear brakes?,Answer Unavailable,,
52035529,"Hi, what is the additional discount? ",52039130,"Hi Mr. Kim, 
Here is a list of what was recommended for your vehicle, with discounted priceing.
cabin air filter $56.65/ AC system cleaning $129.34/ hybrid cooling fan service $442.97/ fuel system service $230.44

--Deanna Chapman DCH Toyota of Torrance",1018
52006255,So are you gonna fined out what the mix up was?,52006439,"Yes, Jose is out of the office today. When he returns tomorrow i will ask him and get back to you. 

--Deanna Chapman DCH Toyota of Torrance",61
52004637,what time can i pick up my car??,52006152,"It's ready now
",432
52003670,Thanks just let me know what time,52053287,"Any time before 10 would be good.  We open at 7

--Coby Turner DCH Toyota of Torrance",13821
52001586,What time do you close today?,52001637,"7PM

--Marvin Cabrera DCH Toyota of Torrance",19
51998875,"Good morning Chrissy!
This is Afsaneh Ghaffari 
when does my car get ready today???",52013107,"I will call danuel and ask 
--Chrissy Robertson DCH Toyota of Torrance",4024
51998267,"I can do an afternoon also, do you know how long that repair takes?",52001599,"I do have parts in stock and can get it done tomorrow. It will take about 4 hrs

--Coby Turner DCH Toyota of Torrance",851
51994549,How about tomorrow morning? Do you have the parts in stock?,51997459,"I should be able to do it tomorrow morning, I'm just trying to verify with my scheduler....I'll let you know in a few
",743
51992011,So what is the final amount?,51995072,"You are looking at about roughly $315

--Deanna Chapman DCH Toyota of Torrance",979
51989687,I came to pick it up yesterday and my steering wheel was cock eyed right. When I put the steering wheel straight it would drift Left,51990184,"I just talked to my lead tech, he said he stayed late yesterday and worked on it.  He said its as straight as he can get it with the lifted suspension and he has an alignment print out.  He said its ready to go

--Coby Turner DCH Toyota of Torrance",154
51989577,"I was told by the service adviser that after they cleaned it up all was good. So he just recommended doing the breaks. Her is his texts

Your right but when we cleaned it there were no signs of leaks and the differential was full. We did add dye into. We will have to check on next visit but as of right now it is not leaking 
--Jose Hernandez DCH Toyota of Torrance

It is leaking all over my driveway however. I can't believe he would tell me this",Answer Unavailable,,
51987939,What wasn't done?,51988954,"To perform a differential inspection due to excessive leaking 

--Deanna Chapman DCH Toyota of Torrance",331
51987093,How about 1pm,Answer Unavailable,,
51935650,Thanks Ofelia. How about Sat the 22nd in morning?,51997058,"Sure what time on the 22 nd?

--Ofelia Carlin DCH Toyota of Torrance",55915
51930019,"Hello
When do u close Toyota",51930081,"7PM

--Chrissy Robertson DCH Toyota of Torrance",57
51927727,"Okay, thank you, how do i pay? I won t be able to pick up until around 7 tonight.",51927781,"I'll send you a link shortly.

--Marvin Cabrera DCH Toyota of Torrance",17
51927178,Is this not covered by my warranty?  How often does the cabin air filter and engine filter need to be replaced?,51927449,"Toyota care does not cover the filter because they are considered wear and tear items.  There is no exact mileage or time, the filters are recommended based on their condition but typically customer replace them every 15,000 miles that seems to be the average",162
51924038,How long does that take?,51924193,"2 hours

--Marvin Cabrera DCH Toyota of Torrance",72
51923371,"What happened?
Is the car ready 
If not can i get a rental the extended guarantee",51923736,"Will be ready by 6pm

--Marvin Cabrera DCH Toyota of Torrance",245
51917300,"Great, what do I need to do now?",51917411,"i will go over to see you in a bit am printing everything out for you 

--Janet Roman DCH Toyota of Torrance",36
51916799,What is the cost. What kind of discount. I'm truly unhappy about this lapse.,51919152,"What i did was apply a 15% discount to the labor bringing it down to $220.68 for the Fuel System Service.

--Deanna Chapman DCH Toyota of Torrance",951
51914517,Do you know how much longer it will be before my car is done? Debra Albrecht,51915017,"should be 10- minutes 
 

--Janet Roman DCH Toyota of Torrance",167
51910755,"Hey, Marv;

What service am I due for and will you and Joel be there tomorrow?",51911819,"Hello Paul, so it's the intermediate service $189.95 (coupon) rate and yes we will be here.

--Marvin Cabrera DCH Toyota of Torrance",377
51907502,"Yes, that is great! Way better thank the full amount :) thanks! Let me know what timing is looking like",51909414,"Daniel is going to order the parts and I am hoping it will be ready tomorrow. Either Daniel or myself will keep you posted. I will be back in the office on Wednesday but I am available if you need anything. 
--Jose Hernandez DCH Toyota of Torrance",522
51903928,What time do you close?,51904095,7pm,40
51898700,"what time are you expecting to make it done, today ?",Answer Unavailable,,
51897606,Hi....how long will my service takes? N detailing estimates plz,51898865,"Its about 1 and 1/2 the detail is 250$ and we need the car half a day.

--Janet Roman DCH Toyota of Torrance",405
51888224,Hey Janet this is craig thompson is my Toyota RAV4 ready or what time or do you know what time I may be ready thanks,51889433,"is just getting finished right now 
 

--Janet Roman DCH Toyota of Torrance",366
51877847,"It's idling at about 5,000 feels like it might stall when stopped at lights. I've never felt it do this before. Should I bring it back?",51877982,"PLEASE BRING BACK 

--Richard Perez DCH Toyota of Torrance",60
51856628,What does the prius need service for? ,Answer Unavailable,,
51844411,"Thank you Deanna but since we drive an average of 5000 miles per year, or less,  we were told by DCH to only have the car serviced once a year which is scheduled for February. Feel free to send a reminder with any promotions at that time. Vivian",51844492,"Ok, no problem. Thank you

--Deanna Chapman DCH Toyota of Torrance",33
51842363,"Miguel

I noticed that my antifreeze was leaking since I got my car back. I think your technician might have not tightened the antifreeze hose or punctured it when he fixed the Freon. Can I bring it back today to fix it.

Call me",Answer Unavailable,,
51842304,"Marvin, I just made payment.  What additional arrangements must I make with Sales to pickup before 8:45pm tonight?",51843170,"Got it. Thank you, no further action needed, I will have your car and invoice sent to the sales department.

--Marvin Cabrera DCH Toyota of Torrance",311
51804161,What Saturday is their available,51967068,"Good Morning Julio Lopez, we are avaliable this Saturday 15th at 7:45 am, 8:15 am, 10:00 am or 11:00 am , what time is good for you to come in?

--Diana Cota DCH Toyota of Torrance",227953
51802735,How about 8?,51802872,Great you're all set for Monday at 8am,171
51802535,"Hi Diana, what time is your earliest available appointment for Monday?",51802563,7 am,46
51798093,"Thank you, I will check my calendar and see what day works best. Most likely toward the end of the month",51798112,"Ok, Thank you

--Deanna Chapman DCH Toyota of Torrance",22
51797526,What time does the service department close?,Answer Unavailable,,
51796062,How much is it for total including tax for each tire?,51796234,"yes each tire is 210 so the total would be tires 920+ 99 alignment =1019 not including tax 
 

--Janet Roman DCH Toyota of Torrance",135
51795988,"What kind of tire? 
$210 is each tire?",Answer Unavailable,,
51792408,Is there a number I could call to talk to someone at the shuttle department I'm trying to figure out time wise how long until they will be able to get here roindabouts,51793433,"Jacob, Your shuttle is on its way.
",728
51790353,"How much does each tire cost?
Total cost of 4 tires?

How much does alignment cost? 

Thank you,
Kristy",51792277,"Tires are 942.00 discount at 920.00 and the alignment is 129 discount 99$ let me know?
 

--Janet Roman DCH Toyota of Torrance",1343
51785312,Hi! Do you know how much longer it will be by any chance? ,51785490,"DOING PAPPERWORK 5 MINUTES

--Richard Perez DCH Toyota of Torrance",139
51782468,"Miguel, just hold off on the brake job. Your price is too high for me. Thanks. Let me know when the car is ready.",51783304,"Sorry Jesse, got stuck in the parts department. we can gladly apply a discount on both parts and labor for anything additional you decide, also, if you want to maybe do first fronts and rears later it will make it easier on you. let me know and i will gladly asisst. thank you 

--Miguel Ortiz DCH Toyota of Torrance",411
51774893,"Ok thank you how do I arrange a pick up.  The rep stated the would pick me up
Turonda ",Answer Unavailable,,
51774440,LoL hi Diana! Hmmm... it's just a tire rotation right? How about Thursday afternoon. At like 3ish? What available times do you have then?,51775533,"Good Morning Alysia, hope you and your family are doing well ,yes your 2016 4Runner is due for a Tire rotation, would you like to make appointment ?

--Diana Cota DCH Toyota of Torrance",532
51774440,LoL hi Diana! Hmmm... it's just a tire rotation right? How about Thursday afternoon. At like 3ish? What available times do you have then?,51775533,"Good Morning Alysia, hope you and your family are doing well ,yes your 2016 4Runner is due for a Tire rotation, would you like to make appointment ?

--Diana Cota DCH Toyota of Torrance",532
51756953,"Hey Miguel, let's just clean the vent and see what discounts we can get from the website.",51757190,"no problem, i will apply that and we will perform service, thank you

--Miguel Ortiz DCH Toyota of Torrance",71
51756297,Where is the cooling vent located?   Can we chat?   I'm here.,Answer Unavailable,,
51739705,"Hey Marvin, did you ever find out what air freshener was in the loaner car? ",Answer Unavailable,,
51736951,My husband will pay when he picks it up. Many thanks.,Answer Unavailable,,
51735963,Okay! Could I get a shuttle from Saatchi? Not sure what the latest pickup is today ,Answer Unavailable,,
51734433,Can I pick up car tomarrow? What time?,51736713,"no problem, anytime between 7am to 5pm

--Miguel Ortiz DCH Toyota of Torrance",1481
51723531,What time are you working tomorrow or what time is the earliest I can swap out the vehicles,51723916,"I'm here 7-5 tomorrow
--Coby Turner DCH Toyota of Torrance",166
51684848,Great what time do you close,51684972,"We are open until 7:00pm

--Daniel Poplar DCH Toyota of Torrance",38
51682143,"It looks fine but $129 to diagnose tire pressure is ridiculous and I will not pay that and I'm insulted even be given that quote. How about we just put all the tires up to pressure

Also I'm assuming oil change is included in this price if we're going to replace the air filter",Answer Unavailable,,
51680986,i am waiting for the shuttle please let me know how long it would take thanks!,51681175,"they should be calling you once they are ready 
 

--Janet Roman DCH Toyota of Torrance",27
51680243,Hi Miguel - any idea when my Sequoia will be done?  I'm trying to work out getting the new tires.,51684308,"we ordered radiator yesterday and it should be in first order around 1:00. f everything stays well, i am looking around 4-5 pm. if ist sooner, i will call or text you guys right away..thank you 

--Miguel Ortiz DCH Toyota of Torrance",1093
51667942,"Hi Miguel, We will call when ready. Thank you.",51693596,"please keep me updated because  once Toyota  makes an offer, they can only hold it for so long and we cannot hold part for more than 2 weeks. Thank you 

--Miguel Ortiz DCH Toyota of Torrance",6982
51666626,"Hi, I was just wondering if you had an estimate time when my car would be ready?",51666734,"APROX 3PM

--Richard Perez DCH Toyota of Torrance",38
51646256,"Okay, that would be great, since I'd like to drive it as little as possible until we get the ABS system replaced. Let me know what you hear around noon. I know we'd said that even if the inspector comes today, the part would still need to get ordered ",51690695,"The inspector just called me , he is currently on his way will be here in about 30mins or so. 

--Daniel Poplar DCH Toyota of Torrance",12571
51643551,Great thanks! Would you be able to see how long I'm covered with my warranty?,51644484,"Brakes are not vovered under warranty . You do have a extended warranty untill 100k miles til 2020 that cover mechanical break down for engine and transmission 

--Richard Perez DCH Toyota of Torrance",285
51635868,"Hi Ofelia, do you have package where I can extend covered maintenance?",51708878,"Hi this is  Janet we have the Toyota care plus you could extend the service for another 3 years for 329$

--Janet Roman DCH Toyota of Torrance",20445
51634967,How are the rear brakes Daniel?,51635302,"Rear brakes are really good still measured at 6mm would say about 60-70% life left.

--Daniel Poplar DCH Toyota of Torrance",128
51601109,"Hi Miguel it's Michel Sumi. I stopped by yesterday afternoon with the frozen radio. Any word when I can come in and get this resolved?

Thanks",51693303,"Hello Michael, its Miguel at Toyota. We talked with team leader and i explained and went over information and they allowed me to order replacement unit. takes 3-4 working days for part to get here so we sill contact you next week once we have part. Thank you 

--Miguel Ortiz DCH Toyota of Torrance",65572
51599867,"It seems the mechanics did not reset the 5000-mile ""MAINT REQD"" indicator light.  Can you walk me through how to reset it, please?",51599957,"You can bring it into our service drive and we can take care of it there for you. It only takes a few minutes. 

--Deanna Chapman DCH Toyota of Torrance",81
51595501,"What is a timing cover, what does it do, what does it leak, and what would repair/replacement of the gasket cost?
Thank you again",51597138,"The Timing Cover Gasket is essentially the Timing Chain it needs oil from the engine for lubrication. There is an opening between it and the valve camshaft area which flows oil through and into the oil pan.

--Deanna Chapman DCH Toyota of Torrance",1165
51592671,"Ms Chapman - please double check your records, as I believe you are mistaken.  The service rep stated that the water pump needed replacement at close to $700, and that was agreed to and included in the final invoice.  No other services were stated as being needed.
Please confirm what you find.
Thank you.",51593620,"Sorry Mrs. Nakayama for any confusion. I do see in my records you did replace the water pump. I do also see the Timing Cover Gasket was recommended due to it was starting to leak.

--Deanna Chapman DCH Toyota of Torrance",587
51571897,What is the total amount?,51577204,"Total with tax is $723.32

--Coby Turner DCH Toyota of Torrance",1519
51569010,What time will my truck be done by?,51569156,Im hoping around 4 or 4:30,37
51566959,Could you please give me an estimate print out when I pick up my car? I'd like to think about it. Thank you! ,51567333,"no problem, it will be done at 2:30, you can pick up anytime before 7:00, i am here until 5:00. thank you 

--Miguel Ortiz DCH Toyota of Torrance",138
51562944,Text me when truck ready,51567162,"Okay :)

--Sydney Gomez DCH Toyota of Torrance",1186
51562202,"I left my Camry 2008 at your service dept yesterday it's getting new dash. Please let me know when I can pick it up?
Thanks!
Flory Park",Answer Unavailable,,
51528123,Nice thank you. I'm working today till 7. What time are you open till?,51528265,"The cashier is open until 7.  

--Coby Turner DCH Toyota of Torrance",38
51515466,"GM Daniel, I'm sorry to have to bother you this morning but as I reviewed my invoice I see both the front and rear rotors were machined and it was my understanding yesterday afternoon (when Sean spoke with me and you were present) that we were replacing brake pads on both front and rear and machining front rotors only. Is that not correct? 
Thank you, Lia Lewis",51533797,"GM Lia , The front and rear brakes were able to be machined to smooth out the rotor , instead having to replace them. Whenever we perform a brake job we always machine the rotors as long as there within spec to do so. 

--Daniel Poplar DCH Toyota of Torrance",5560
51462767,"Yes, I do need probably minor service, I see you're offering movie tickets or Target gift cards, too.  Can you tell me if I can get my recall dashboard done at the same time, not sure how long that will take.  How is it looking for tomorrow?",51545763,"Hi Ms. Neuman,  this is Ofelia I'm the one that has been trying to reach you regarding the dashboard.  I can definitely schedule you for both the dashboard replacement and maintenance.  The repairs would have to take place M-F.  We require the vehicle to be here the majority of the day.  I still have availability tomorrow and next Tuesday thru Friday.  Please let me know what date and time work best for you to come in.    

--Ofelia Gonzalez DCH Toyota of Torrance",69339
51453351,What time do you close,Answer Unavailable,,
51451894,I'm here where do I go ,51453077,"sorry I was with a customer 

--Janet Roman DCH Toyota of Torrance",513
51444521,"How much longer? Also, would you happen to know what air freshener spray is used on your loaner cars? Specifically the Camry. The girls at the desk didn't know. @",Answer Unavailable,,
51444521,"How much longer? Also, would you happen to know what air freshener spray is used on your loaner cars? Specifically the Camry. The girls at the desk didn't know. @",Answer Unavailable,,
51436195,"Ok great. Thanks Miguel. $4,300 is allot for a circuit board. Is there a way you can tell me how long the warranty is for?",51436320,"15 years or 150k miles according to Toyota Motora

--Miguel Ortiz DCH Toyota of Torrance",42
51426087,You said about ? Can I know exactly how much and I'll do it ,Answer Unavailable,,
51424864,"Coby - not sure who to call to get a shuttle back to Toyota - I called the main # and was connected to truck rentals, recording,  so how do I get a ride back??  I'm at Norm's on PCH.",51425436,"It's actually Trac Rentals (stands for Toyota Rent A Car) call again and tell them you just got a machine, they will make sure someone gets on the phone!
--Coby Turner DCH Toyota of Torrance",138
51423670,Which one,51432787,"2010 corolla

--Deanna Chapman DCH Toyota of Torrance",2567
51419056,"I am just waiting for my car to get close to 30,000 miles when it does I will text and set up an appointment. Thank you",Answer Unavailable,,
51415815,Did you guys figure what was wrong ??,51416222,"NOT yet we have a couple cars in front of yours 
 

--Janet Roman DCH Toyota of Torrance",107
51413024,Hi Marvin，we r not having the mentioned services today thank you for calling，please let me know when to pick up，Daisy,51413277,"Good News Hsu! Your vehicle is ready.

--Marvin Cabrera DCH Toyota of Torrance",100
51410020,Hi Diana  this is Leopoldo how much is for  my truck service?,51416565,"Good Afternoon Leopoldo Balthazar, your 2005 Tundra is due for a Minor service , includes oil and filter change, rotate tires , clean adjust brakes, top off fluids and 27 point inspection , price with conventional is  $89.95 plus tax with synthetic  oil is $10.00 extra , would you like to make appointment?

--Diana Cota DCH Toyota of Torrance",2046
51409434,How much is it ?,Answer Unavailable,,
51400110,Which service is this? 35k?,51402043,"Good Morning Amanda Kimoto, your 2014 Highlander is due for a 35k service, would you like to make appointment?

--Diana Cota DCH Toyota of Torrance",648
51395882,How about tomorrow ?,Answer Unavailable,,
51388654,Hey Marvin that's some list! Let's do the gasket hold off on the fluids got now curious why so much for the tire repair?,51389208,"I agree, as far as the tire, It has to be replaced, nail is too close to sidewall, so that quote is for 1 new tire mounted and balanced. 

--Marvin Cabrera DCH Toyota of Torrance",164
51369061,When is a good time to come in today ? To do the brake fluid?,51395625,"I can bring you in at 11:30

--Deanna Chapman DCH Toyota of Torrance",9077
51344551,"Janet, I came in on June 17 for service. The overhead handles were supposed to be replaced that same day, but I just noticed today that they were not replaced. Can you please let me know when I can have these replaced",Answer Unavailable,,
51340464,Sorry sent it again wanted to say thank you for cute July 4 greeting lain ang napala hay sorry Happy July 4 to you too. DJ is just having bfast nakatulog liwat when I applied Bengay when her leg was hurting. She woke up at 7:15 but didn't sleep well kuno last night so nakatulog liwat,51372226,"Good Morning Alma Fullerton, your appointment is confirmed on Friday 7th at 9:00 am, Thank you for servicing your vehicle at DCH Toyota of Torrance.

--Diana Cota DCH Toyota of Torrance",76002
51329151,Thanks.  What is the latest i can come.,51329174,"7 

--Chrissy Robertson DCH Toyota of Torrance",24
51327367,What time is service open til?,51327906,"PLEASE KEEP RENTAL TILL WED IF POSSIBLE SO I CAN CALL EXTENDED WARRANTY I DON'T WANT ANY MISTAKES 

--Chrissy Robertson DCH Toyota of Torrance",391
51327152,How about Saturday ,Answer Unavailable,,
51326890,How long will it take to install,51326985,"we will need it for 5-7 days according to bulletin. 

--Miguel Ortiz DCH Toyota of Torrance",76
51326700,"Hey Chrissy, when the truck is finish please page myles yamada in the lobby",51326722,"OK

--Chrissy Robertson DCH Toyota of Torrance",19
51325563,"Hi Miguel, I noticed feature that I used to have with Prius that is not there anymore. When I open walk away from the car with engine still on and I have my keys with me, the car beeps to warn me that the engine is still on. What happened to this feature? After the 4thof July holiday, can you please tell me how to get this feature back? Thank you. Have a great 4th!",51326934,"no problem, happy holidays.

--Miguel Ortiz DCH Toyota of Torrance",924
51325563,"Hi Miguel, I noticed feature that I used to have with Prius that is not there anymore. When I open walk away from the car with engine still on and I have my keys with me, the car beeps to warn me that the engine is still on. What happened to this feature? After the 4thof July holiday, can you please tell me how to get this feature back? Thank you. Have a great 4th!",51326934,"no problem, happy holidays.

--Miguel Ortiz DCH Toyota of Torrance",924
51325563,"Hi Miguel, I noticed feature that I used to have with Prius that is not there anymore. When I open walk away from the car with engine still on and I have my keys with me, the car beeps to warn me that the engine is still on. What happened to this feature? After the 4thof July holiday, can you please tell me how to get this feature back? Thank you. Have a great 4th!",51326934,"no problem, happy holidays.

--Miguel Ortiz DCH Toyota of Torrance",924
51325011,Ok. What time do i need to get there to drop off my loaner..i am at work,51325026,"7PM

--Marvin Cabrera DCH Toyota of Torrance",14
51322084,"Hi Chrissy -  I think you were going to let me know when the car was ready.  If it's not, that's fine.  If it's ready, though, I'd rather pick it up sooner than later.  Let me know - thanks!",51322128,"YES I WAS IT IS READY GARY

--Chrissy Robertson DCH Toyota of Torrance",29
51320964,Hi Chrissy do you have an idea of how long the it might take for the repairs. Thanks,Answer Unavailable,,
51312695,When will car be ready?,51313768,"End of day I had to order the calipers which will be here at 3 so let's say about 530

--Chrissy Robertson DCH Toyota of Torrance",374
51311816,How about Monday the 10th after 4,51328132,"sorry, i am off that day but if that is the best day for you, i can arrange it. I can make the reservation for rental and just drop it with one of my managers check car in. I am back on Tuesday if you like. 

--Miguel Ortiz DCH Toyota of Torrance",8245
51310085,"Hi Miguel, how much longer till the car is ready?",51310928,"technician is done with service, i am just waiting for report on brakes and rotors. thank you 

--Miguel Ortiz DCH Toyota of Torrance",319
51304212,Which location is this?,51304330,"This is the Torrance location
",48
51300980,"Let me know the ETA when possible, Sydney.
Tx!!",51302637,"shuttle department will give you a call :)

--Sydney Gomez DCH Toyota of Torrance",537
51300867, Hi. How long will it take to replace tires and alignment?,51300964,"about 2.5 to 3 hrs
 

--Miguel Ortiz DCH Toyota of Torrance",16
51299500,What time is my shuffle picking me up? Tx!,51300382,"I will let them know to go for you ASAP

--Sydney Gomez DCH Toyota of Torrance",346
51297988,How late are you opened? Are you opened tomorrow? ,51298011,"7:00 

--Miguel Ortiz DCH Toyota of Torrance",8
51295875,"Let's replace everything but the brake fluid, I can do that when I change the brakes.",51296713,"Thank you, will do, I will text you when it's ready.
",310
51294944,What is it that needs to be fine?,Answer Unavailable,,
51279606,What is the warrantee on that part?,Answer Unavailable,,
51272527,How much for today?,51272714,"just the minor service: $89.95 plus tax and hazo
 

--Miguel Ortiz DCH Toyota of Torrance",56
51271170,"When I made the appointment, they said max 2.5 hours which will be at 10:30.",51271230,"we can try to expedite it but i need to make sure everything comes out ok. i don't want you to have any issue later on

--Miguel Ortiz DCH Toyota of Torrance",19
51271170,"When I made the appointment, they said max 2.5 hours which will be at 10:30.",51271230,"we can try to expedite it but i need to make sure everything comes out ok. i don't want you to have any issue later on

--Miguel Ortiz DCH Toyota of Torrance",19
51269903,How long will those take?,51270988,"1 1/2 to 2 hrs. 

--Miguel Ortiz DCH Toyota of Torrance",389
51269735,Thanks. What is our email?,Answer Unavailable,,
51254092,"Marvin

What time do you think Zachary Russo car will be ready for pickup?",51254152,"its ready, I text the number i was given.

--Marvin Cabrera DCH Toyota of Torrance",29
51252656,I am at work. Are u at Toyota dealer? How long u have to wait?,Answer Unavailable,,
51246198,"Good morning Miguel, this is Michel sumi. I have a 2106 Tacoma which I brought in two weeks ago for the radio freezing up. Sorry to say it's still freezing up.Good morning Miguel, this is Michel sumi. I have a 2106 Tacoma which I brought in two weeks ago for the radio freezing up. Sorry to say it's still freezing up.",Answer Unavailable,,
51223801,We don't have time to come back so please hold onto it for us and they can re install it when we bring it in for our appointment on Friday.. thanks.,Answer Unavailable,,
51223270,The brakes don't need anything replaced? It made a lot of noise when ever I would brake. And yes you can proceed with the repairs.,51223306,"we clean and adjust them. i will get the tech on it
",64
51221073,Hi how late are you open,51221091,We are here till 5pm,18
51218942,"how about Wednesday it Thursday?
about 9 am",51219292,"Sure it takes an hour in a half to two hours which car are you brining.

--Ofelia Carlin DCH Toyota of Torrance",431
51218801,thank. how long will it take to service the car?,Answer Unavailable,,
51216165,What is the total,Answer Unavailable,,
51215489,What kind of discounts can you give me,Answer Unavailable,,
51206652,Hi what time do you close today,51207705,"5PM

--Sydney Gomez DCH Toyota of Torrance",612
51198438,Hey Sydney I'm going to need a pick up when the car is ready,51198605,"No problem just send me the address you will be at.

--Sydney Gomez DCH Toyota of Torrance",48
51196716,What is needed by me.,51196801,"nothing. they will call you when they are on the way
",50
51194903,Thanks. How can i pay online,51194939,"I will send you a link 
",18
51189290,"Jose, what time do you close today?",51189350,we are here till 5pm,26
51187145,I can bring it in when it's ready,51187389,"Same service we are doing, I'll adjust the price to -$10.00 to match. 

--Marvin Cabrera DCH Toyota of Torrance",96
51161824,"Thats great Jode, how late can I pick it up?",51161843,we are here till 7pm,19
51159628,Ok.  How late are you open?,51159655,"7PM
 

--Janet Roman DCH Toyota of Torrance",19
51154397,"Hi Coby..I think I will just do the recall tomorrow and when my spouse comes back from vacation, I will schedule the brakes.. thank you.. enjoy your holiday..Hi Coby..I think I will just do the recall tomorrow and when my spouse comes back from vacation, I will schedule the brakes.. thank you.. enjoy your holiday..",51154528,"Sounds good. Ask for Richard when you come in, he is covering for me tomorrow and I will let him know what we are doing.
",74
51153488,"Would like to call too so I understand what part(s) are affected and if the replacement would need to be ordered, etc ",51225491,"Mrs. Contreras i called your extended warranty and they were closed.. i will try on Monday. have a great weekend
",88933
51149059,What time do u open tomorrow?,51149124,"7

--Chrissy Robertson DCH Toyota of Torrance",33
51104283,What time do you guys close ,Answer Unavailable,,
51095187,🙏 thanks!  What is the estimated time of completion?,51095247,"2:00PM

--Chrissy Robertson DCH Toyota of Torrance",17
51070212,Hi Chrissy - how critical is the rear strut issue? ,51071425,"Leaking at level 1 which level 5 is normal leakage, if your not ready today then it can wait just  making you aware shocks absorb the energy of the road which put less stress on other suspension components 

--Chrissy Robertson DCH Toyota of Torrance",354
51069857,How much would 4 wheel vs front wheel alignment be?,51070953,"The price is the same for all alignment$99.95 i'm only charging you $60 for the alignment  we are doing today and we will not perform that until the shaft is installed

--Chrissy Robertson DCH Toyota of Torrance",302
51021369,When does that warrantee expire on that part?,Answer Unavailable,,
51018015,What time does your office close?,51018036,7PM,15
51016712,What time would I be able to pick up the car tomorrow?,51016983,"After repair end of day tomorrow about 5 

--Chrissy Robertson DCH Toyota of Torrance",204
51014428,Hi Marvin - thanks! How should we arrange the ride back for my wife?,51014605,"I already told the shuttle coordinator to call her, they will do shortly. 

--Marvin Cabrera DCH Toyota of Torrance",82
51012399,There was no leak when I brought it in.,51012471,"He said the bottle was empty when he opened the hood.
",31
51012329,Ahhhhhhh crap. What the heck.,Answer Unavailable,,
51011704,So the windows are not done ? When will the parts get in?,51012312,"it should be in next week, appointment center will call you so we can re-schedule, we cleaned and lubricated for now. thank you 

--Miguel Ortiz DCH Toyota of Torrance",294
51010403,What do you mean? You want me to leave a review?,51010516,"yes please :) 

--Janet Roman DCH Toyota of Torrance",63
51005819,Why you did not save a  loan car for me in the beginning you already knew I needed a loan car?,Answer Unavailable,,
50994200,Thanks again. Will contact you again when I'm ready for new tires,Answer Unavailable,,
50989931,How do I set it up for shuttle pick up,50990110,You can call the shuttle desk when you are ready for a pick up. 310-626-9073,34
50976990,Thank you. What is this for? Schedule service? ,Answer Unavailable,,
